property_type,society,sector,price_in_cr,price_per_sqft,area_in_sqft,areawithtype,bedroom,bathroom,balcony,floornum,facing,agepossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
flat,SS Residency Residency The Leaf,sector 85,1.14,6433,1772,Super Built up area 1772(164.62 sq.m.),2,2,3,16,south,Relatively New,1772.0,,,0,0,0,0,0,1,44
flat,Unitech Fresco,sector 50,1.14,8532,1336,Super Built up area 1336(124.12 sq.m.)Built Up area: 1330 sq.ft. (123.56 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),2,2,2,19,east,Moderately Old,1336.0,1330.0,1100.0,0,0,0,0,1,0,174
house,Independent,sector 23,4.0,16004,2432,Plot area 270(225.75 sq.m.),3,3,,2,east,Moderately Old,,2435.0,,0,1,0,0,0,0,115
flat,Godrej Nature Plus,sector 33,1.27,9182,1383,Super Built up area 1383(128.48 sq.m.),2,2,3+,9,west,New Property,1383.0,,,0,0,0,0,0,1,38
flat,ATS Tourmaline,sector 109,1.5,8571,1750,Super Built up area 1750(162.58 sq.m.)Built Up area: 1466 sq.ft. (136.2 sq.m.),3,3,3+,7,north-east,Relatively New,1750.0,1466.0,,0,0,0,0,0,1,165
flat,Godrej Summit,sector 104,1.3,7893,1647,Super Built up area 1647(153.01 sq.m.),3,3,3,8,na,New Property,1647.0,,,0,0,0,0,1,1,103
flat,Navjyoti Apartment,sector 38,2.1,11938,1759,Carpet area: 1759 (163.42 sq.m.),4,4,3+,10,north,Old,,,1759.0,0,0,0,0,0,2,22
flat,Indiabulls Enigma,sector 110,4.0,9851,4061,Built Up area: 3350 (311.23 sq.m.),4,4,3,17,na,New Property,,3350.0,,0,0,0,0,0,1,59
flat,Emaar  Greens,sector 102,1.52,9212,1650,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,7,north-west,Relatively New,1650.0,,1023.0,0,1,0,0,0,0,137
flat,Emaar MGF Palm Hills,sector 77,1.9,9500,2000,Super Built up area 2000(185.81 sq.m.)Carpet area: 1218.03 sq.ft. (113.16 sq.m.),3,4,3+,6,south-west,New Property,2000.0,,1218.0,0,1,0,0,0,0,42
flat,ATS Triumph,sector 104,1.8,7860,2290,Carpet area: 2290 (212.75 sq.m.),3,4,3,14,na,New Property,,,2290.0,0,0,0,0,0,1,60
flat,M Golfestate,sector 65,5.9,17543,3363,Super Built up area 3363(312.43 sq.m.),3,3,3,9,na,Moderately Old,3363.0,,,1,0,0,0,0,2,21
house,Shri Shyam Residency,sector 104,0.62,12400,4455,Plot area 500(46.45 sq.m.)Built Up area: 900 sq.ft. (83.61 sq.m.)Carpet area: 480 sq.ft. (44.59 sq.m.),3,3,,2,na,Moderately Old,,900.0,480.0,0,0,0,0,1,2,8
flat,Tarc Maceo,sector 91,0.9,6870,1310,Super Built up area 1310(121.7 sq.m.),2,2,2,13,east,Relatively New,1310.0,,,0,0,0,0,0,2,67
flat,Tata Primanti,sector 72,4.0,16032,2495,Super Built up area 2905(269.88 sq.m.)Carpet area: 2495 sq.ft. (231.79 sq.m.),4,2,3+,22,west,Relatively New,2905.0,,2495.0,0,1,0,0,0,0,174
flat,Tulip Violet,sector 69,3.1,9822,3156,Super Built up area 3156(293.2 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),4,2,3+,14,north,Relatively New,3156.0,,2500.0,0,1,0,1,0,1,174
flat,M Woodshire,sector 107,1.32,6330,2085,Super Built up area 1943(180.51 sq.m.),3,3,3,10,east,Relatively New,1943.0,,,0,0,0,0,0,1,117
house,Independent,sohna road,1.55,14720,1054,Plot area 117(97.83 sq.m.),2,3,,1,north,New Property,,1055.0,,1,0,0,1,0,0,49
flat,Sare Homes,sector 92,0.8,4694,1704,Carpet area: 1704 (158.31 sq.m.),4,2,3,1,north-east,Moderately Old,,,1704.0,0,0,0,0,0,1,77
flat,Ireo Skyon,sector 60,3.7,13214,2800,Super Built up area 2800(260.13 sq.m.),4,2,3,10,south,Relatively New,2800.0,,,0,1,0,0,0,0,165
flat,Capital Residences,sector 70a,1.68,8502,1976,Super Built up area 1976(183.58 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1560 sq.ft. (144.93 sq.m.),3,3,3+,5,north-east,New Property,1976.0,1900.0,1560.0,0,1,0,0,0,1,141
flat,Sidhartha Ncr One,sector 95,0.55,5556,8910,Built Up area: 990 (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,3,15,north-east,Undefined,,990.0,950.0,0,0,0,0,0,1,0
flat,Assotech Blith,sector 99,1.15,6593,1744,Super Built up area 1365(126.81 sq.m.),2,2,2,2,na,New Property,1365.0,,,0,0,0,0,1,0,72
house,Independent,sector 53,4.0,17778,2249,Plot area 250(209.03 sq.m.),5,2,,3,na,Relatively New,,2255.0,,1,0,0,0,0,1,23
flat,DLF The Ultima,sector 81,2.35,11233,2092,Super Built up area 2092(194.35 sq.m.)Carpet area: 1100 sq.ft. (102.19 sq.m.),3,4,3+,18,north,Relatively New,2092.0,,1100.0,0,1,0,0,0,1,106
flat,Park View Apartment,sector 56,1.74,7565,2300,Super Built up area 2450(227.61 sq.m.)Built Up area: 2400 sq.ft. (222.97 sq.m.)Carpet area: 2300 sq.ft. (213.68 sq.m.),3,3,3+,2,south,Old,2450.0,2400.0,2300.0,0,1,0,1,0,0,104
flat,Godrej Nature Plus Serenity,sector 33,1.45,8677,1671,Super Built up area 1671(155.24 sq.m.),3,2,3,3,south,Under Construction,1671.0,,,0,0,0,0,0,1,49
flat,Raheja Vedaanta,sector 108,1.0,4854,2060,Built Up area: 2060 (191.38 sq.m.)Carpet area: 1890 sq.ft. (175.59 sq.m.),2,2,2,0,north,Undefined,,2060.0,1890.0,0,0,0,0,0,1,0
flat,Ireo Uptown,sector 66,1.5,11219,1337,Super Built up area 1337(124.21 sq.m.)Built Up area: 1330 sq.ft. (123.56 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2,3,3,1,south,Relatively New,1337.0,1330.0,1050.0,0,1,0,0,1,0,79
flat,Supertech Hill Town,sector 2 sohna road,1.5,8720,1720,Carpet area: 1720 (159.79 sq.m.),3,3,3+,3,east,Undefined,,,1720.0,0,0,0,0,0,1,46
flat,Paras Dews,sector 106,1.2,6818,1760,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,4,3+,9,north-east,Relatively New,1760.0,1186.0,1130.0,0,1,0,0,0,1,174
flat,Godrej,sector 79,2.0,8453,2366,Carpet area: 2366 (219.81 sq.m.),3,4,3+,2,north-east,Relatively New,,,2366.0,0,1,0,0,0,0,156
flat,Emaar  Greens,sector 102,1.3,7878,1650,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,1,3,4,east,Relatively New,1650.0,,1023.0,0,1,0,0,0,0,125
flat,Umang Winter Hills,sector 77,0.99,7857,1260,Super Built up area 1260(117.06 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,2,1,north,Relatively New,1260.0,,1000.0,0,0,0,0,0,1,97
house,Surat Nagar Phase,surat nagar phase 2,0.36,7843,4158,Plot area 51(42.64 sq.m.),2,2,,1,north-east,Moderately Old,,460.0,,0,0,0,1,0,1,0
flat,Umang Monsoon Breeze,sector 78,1.05,5666,1853,Built Up area: 1853 (172.15 sq.m.)Carpet area: 1390 sq.ft. (129.14 sq.m.),3,3,3,6,north,Moderately Old,,1853.0,1390.0,0,0,0,0,0,1,0
house,International City By Sobha Phase,sector 109,6.5,12037,5403,Plot area 5400(501.68 sq.m.),4,4,,1,north-east,New Property,,5400.0,,0,1,0,0,0,0,160
flat,Adani Aangan Arcade,sector 88a,0.45,7200,5625,Carpet area: 625 (58.06 sq.m.),2,2,1,3,na,New Property,,,625.0,0,0,0,0,0,1,14
house,DLF City Plots,sector 26,16.0,35561,4499,Plot area 500(418.06 sq.m.),4,4,,1,na,Relatively New,,4509.0,,1,0,1,1,0,1,7
flat,Bestech Altura,sector 79,2.55,9532,2675,Built Up area: 2675 (248.52 sq.m.),4,2,2,4,east,New Property,,2675.0,,0,1,0,0,0,1,44
flat,DLF The Ultima,sector 81,2.26,10761,2100,Super Built up area 2100(195.1 sq.m.),3,4,3+,17,west,New Property,2100.0,,,0,1,0,0,0,2,174
flat,DLF Regency Park,sector 28,1.35,11739,1150,Super Built up area 1150(106.84 sq.m.)Built Up area: 1120 sq.ft. (104.05 sq.m.)Carpet area: 1050 sq.ft. (97.55 sq.m.),2,2,2,14,east,Old,1150.0,1120.0,1050.0,0,0,1,0,0,1,66
flat,Greenopolis,sector 89,0.8,4820,1660,Super Built up area 1660(154.22 sq.m.),2,3,3,8,na,Undefined,1660.0,,,1,0,0,0,1,1,60
flat,SS Residency Residency The Leaf,sector 85,2.1,7467,2812,Super Built up area 2812(261.24 sq.m.),4,2,3+,9,east,Relatively New,2812.0,,,0,0,0,0,0,0,67
flat,Vatika Emilia Floors,sector 83,0.6,5714,1050,Super Built up area 1050(97.55 sq.m.)Built Up area: 990 sq.ft. (91.97 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2,2,2,1,south,Relatively New,1050.0,990.0,950.0,0,0,0,0,0,0,167
house,Independent,sector 28,12.0,42229,2841,Plot area 316(264.22 sq.m.),4,2,,4,east,Relatively New,,2850.0,,0,1,1,1,0,0,60
flat,DLF Regency Park,sector 28,2.26,13696,1650,Super Built up area 1777(165.09 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,3,2,19,east,Old,1777.0,1700.0,1650.0,0,1,0,0,0,1,158
flat,Ireo The Corridors,sector 67a,1.6,9264,1727,Super Built up area 1727(160.44 sq.m.)Carpet area: 1017 sq.ft. (94.48 sq.m.),3,3,2,3,north,New Property,1727.0,,1017.0,0,0,1,0,0,0,142
house,Puri Diplomatic Greens,sector 111,9.0,11250,7997,Built Up area: 8000 (743.22 sq.m.),5,3,,3,north-east,Relatively New,,8000.0,,0,1,0,0,0,1,112
flat,Emaar MGF Emerald Floors Premier,sector 65,2.36,14303,1650,Super Built up area 1650(153.29 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,2,north-east,Relatively New,1650.0,,1400.0,1,1,0,0,0,0,136
flat,Satya The Hermitage,sector 103,0.8,5517,1450,Built Up area: 1450 (134.71 sq.m.),2,2,0,10,na,Undefined,,1450.0,,0,0,0,0,0,1,61
house,Independent,sector 54,3.75,25806,1453,Plot area 160(14.86 sq.m.),4,4,,3,east,Moderately Old,,160.0,,0,1,0,0,0,0,13
flat,GLS Arawali Homes,sohna road,0.27,4687,5184,Carpet area: 576 (53.51 sq.m.),2,2,2,1,east,New Property,,,576.0,0,0,0,0,0,1,35
flat,HCBS Sports Ville,sohna road,0.32,5517,5220,Carpet area: 580 (53.88 sq.m.),2,2,1,7,na,New Property,,,580.0,0,0,0,0,0,1,37
house,Independent,sector 47,5.25,11666,1948,Plot area 1944(180.6 sq.m.)Built Up area: 4650 sq.ft. (432 sq.m.)Carpet area: 4500 sq.ft. (418.06 sq.m.),2,1,,4,east,Relatively New,,4650.0,4500.0,0,1,0,0,0,0,142
flat,Tarc Maceo,sector 91,1.9,6975,2724,Super Built up area 2724(253.07 sq.m.),4,4,3,9,north,Relatively New,2724.0,,,0,1,0,0,0,1,120
flat,DLF Regal Gardens,sector 90,1.75,7900,2215,Super Built up area 2215(205.78 sq.m.),4,4,3+,3,east,Relatively New,2215.0,,,0,0,0,0,1,1,6
house,Independent,sector 7,0.66,12000,4932,Plot area 550(51.1 sq.m.),3,1,,3,east,Relatively New,,550.0,,0,0,0,0,1,1,22
flat,Shapoorji Pallonji Joyville,sector 102,0.97,16454,5310,Super Built up area 915(85.01 sq.m.)Carpet area: 589.49 sq.ft. (54.77 sq.m.),2,2,2,10,north-east,Relatively New,915.0,,590.0,0,0,0,0,0,1,151
flat,DLF Regal Gardens,sector 90,1.3,7150,1818,Super Built up area 1818(168.9 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3+,7,south,Relatively New,1818.0,1700.0,1400.0,0,0,0,0,0,1,141
flat,Tulip Violet,sector 69,1.31,8517,1538,Super Built up area 1538(142.88 sq.m.),3,3,2,12,east,Relatively New,1538.0,,,0,0,0,1,0,0,174
flat,Ireo Skyon,sector 60,2.65,13125,2019,Super Built up area 2045(189.99 sq.m.)Built Up area: 2037 sq.ft. (189.24 sq.m.)Carpet area: 2019 sq.ft. (187.57 sq.m.),3,4,3+,7,north-east,Moderately Old,2045.0,2037.0,2019.0,0,1,0,0,0,0,152
flat,Signature Global Park,sohna road,0.56,6812,7398,Carpet area: 822 (76.37 sq.m.),2,2,3,3,south,New Property,,,822.0,0,0,0,0,0,1,111
house,DLF Gardencity Enclave,sector 93,1.3,11284,1151,Plot area 1152(107.02 sq.m.),3,2,,3,na,Relatively New,,1152.0,,0,0,0,0,0,1,50
flat,Ambience Creacions,sector 22,3.2,11500,2783,Super Built up area 2781(258.36 sq.m.),3,4,3+,2,north-east,New Property,2781.0,,,0,0,0,0,0,1,42
flat,Signature Global Park,sohna road,0.9,8035,1120,Super Built up area 1120(104.05 sq.m.),3,2,2,2,south,New Property,1120.0,,,0,0,0,0,0,1,144
flat,Bestech Park View Ananda,sector 81,1.35,7541,1790,Super Built up area 1790(166.3 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),3,3,3+,10,north-east,Moderately Old,1790.0,,1130.0,0,0,1,0,0,0,72
flat,M Soulitude,sector 89,1.25,8784,1423,Super Built up area 1423(132.2 sq.m.),3,3,3,3,east,New Property,1423.0,,,1,0,0,0,1,1,0
flat,AVL,sector 36a,0.4,10204,3528,Carpet area: 392 (36.42 sq.m.),1,1,1,4,west,Relatively New,,,392.0,0,0,0,0,0,1,35
house,Ansal Height Heights Palam Vihar,sector 2,5.0,12500,4004,Built Up area: 4000 (371.61 sq.m.),6,4,,3,na,Undefined,,4000.0,,0,0,0,0,0,1,0
flat,Emaar Digihomes,sector 62,2.1,13925,1508,Super Built up area 1508(140.1 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,12,north-east,New Property,1508.0,1500.0,1200.0,0,0,0,0,1,0,49
flat,Tulip Violet,sector 69,1.4,8856,1581,Super Built up area 1578(146.6 sq.m.),3,3,2,9,west,Relatively New,1578.0,,,0,0,0,1,0,1,120
flat,Krrish Florence Estate,sector 70,1.65,7764,2125,Super Built up area 2125(197.42 sq.m.),3,4,3+,27,north-east,New Property,2125.0,,,1,1,0,0,0,1,81
flat,Shapoorji Pallonji Joyville,sector 102,1.75,15514,1128,Super Built up area 1852(172.06 sq.m.)Carpet area: 1128 sq.ft. (104.79 sq.m.),3,3,3+,1,east,Relatively New,1852.0,,1128.0,0,0,0,0,0,1,49
flat,Ramsons Kshitij,sector 95,0.35,5495,5733,Built Up area: 637 (59.18 sq.m.),2,2,0,5,na,Undefined,,637.0,,0,0,0,0,0,1,0
house,International City By Sobha Phase,sector 109,6.0,24665,2432,Plot area 270(225.75 sq.m.),4,2,,2,north,Relatively New,,2435.0,,0,1,0,0,0,0,96
house,BPTP Visionnaire,sector 70a,4.6,17624,2604,Plot area 290(242.48 sq.m.),4,4,,3,north,Moderately Old,,2615.0,,1,1,1,1,0,1,96
flat,Signature Global Park,sohna road,0.9,6254,1439,Carpet area: 1439 (133.69 sq.m.),3,3,3,3,north-west,Relatively New,,,1439.0,0,0,0,1,0,1,96
flat,Emaar MGF Emerald Floors Premier,sector 65,2.8,14177,1975,Carpet area: 1975 (183.48 sq.m.),4,4,3,2,south,Relatively New,,,1975.0,1,1,0,0,0,0,108
house,Independent,sector 26,9.0,33312,2701,Plot area 300(250.84 sq.m.),5,2,,3,south-west,Old,,2706.0,,1,1,1,1,0,2,110
flat,SBTL Caladium,sector 109,1.63,6404,2545,Super Built up area 2545(236.44 sq.m.),3,3,2,8,north-west,Relatively New,2545.0,,,0,1,0,0,0,1,159
flat,Smart World Orchard,sector 61,2.54,15500,1639,Carpet area: 1640 (152.36 sq.m.),3,3,3,2,na,New Property,,,1640.0,0,0,1,0,0,1,16
flat,Adani M Oyster Grande,sector 102,2.5,7817,3198,Super Built up area 3198(297.1 sq.m.)Built Up area: 2600 sq.ft. (241.55 sq.m.)Carpet area: 2350 sq.ft. (218.32 sq.m.),4,2,3+,10,north-east,Relatively New,3198.0,2600.0,2350.0,0,1,0,1,0,0,174
flat,Bestech Spa Signature,sector 81,4.4,12571,3500,Super Built up area 4200(390.19 sq.m.)Built Up area: 3700 sq.ft. (343.74 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4,4,3+,6,south-west,New Property,4200.0,3700.0,3500.0,1,1,0,1,1,2,49
flat,Emaar  Greens,sector 102,1.4,8484,1650,Super Built up area 1650(153.29 sq.m.)Carpet area: 1022.58 sq.ft. (95 sq.m.),3,3,3,3,east,Relatively New,1650.0,,1023.0,0,1,0,0,0,1,60
house,Independent,sector 21,1.6,11852,1345,Plot area 150(125.42 sq.m.)Built Up area: 120 sq.yards (100.34 sq.m.),5,2,,3,na,Relatively New,,1284.0,,0,0,0,0,0,1,0
flat,Tulip Lemon,sector 69,0.6,11407,4734,Carpet area: 526 (48.87 sq.m.),2,1,1,11,na,Undefined,,,526.0,0,0,0,0,0,1,0
flat,Suncity Avenue,sector 102,0.48,9022,4788,Super Built up area 632(58.71 sq.m.)Carpet area: 532 sq.ft. (49.42 sq.m.),2,2,1,5,north-east,Relatively New,632.0,,532.0,0,0,1,0,0,1,159
flat,Emaar MGF The Palm Drive,sector 66,4.6,18400,2500,Super Built up area 3300(306.58 sq.m.)Carpet area: 2500 sq.ft. (232.26 sq.m.),3,3,3,11,north,Relatively New,3300.0,,2500.0,1,1,1,1,0,1,131
flat,DLF New Town Heights,sector 90,1.99,7297,2727,Carpet area: 2727 (253.35 sq.m.),4,4,3+,9,east,Relatively New,,,2727.0,0,1,0,1,0,0,102
flat,Supertech Araville,sector 79,0.78,6024,1295,Super Built up area 1295(120.31 sq.m.),2,2,3+,0,na,New Property,1295.0,,,0,0,0,0,1,1,74
flat,DLF New Town Heights,sector 86,1.55,6578,2356,Super Built up area 2356(218.88 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),4,4,3+,12,north-east,Moderately Old,2356.0,,1750.0,0,1,0,1,0,0,120
house,Laxmi Garden,sector 11,1.5,12820,1173,Plot area 130(108.7 sq.m.),4,3,,3,east,Relatively New,,1172.0,,1,1,0,1,1,0,106
house,Independent,sector 9,0.5,6083,7362,Built Up area: 822 (76.37 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),3,2,,1,na,Undefined,,822.0,750.0,0,0,0,0,0,1,0
flat,M Skywalk,sector 74,1.55,13790,1124,Super Built up area 1406(130.62 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1124 sq.ft. (104.42 sq.m.),2,2,3+,18,south,Relatively New,1406.0,1300.0,1124.0,0,0,0,0,1,1,137
flat,Signature Global Solera,sector 107,0.36,5980,5418,Super Built up area 602(55.93 sq.m.)Built Up area: 598 sq.ft. (55.56 sq.m.)Carpet area: 546 sq.ft. (50.73 sq.m.),2,2,1,7,north-west,Relatively New,602.0,598.0,546.0,0,0,0,0,1,1,49
flat,SS Residency Residency The Leaf,sector 85,1.1,6318,1741,Super Built up area 1741(161.74 sq.m.)Carpet area: 1218 sq.ft. (113.16 sq.m.),2,2,3+,3,south-east,Relatively New,1741.0,,1218.0,0,0,1,0,0,1,143
flat,Sapphire Eighty Three,sector 83,0.65,9286,6300,Built Up area: 700 (65.03 sq.m.),1,1,0,6,na,Undefined,,700.0,,0,0,0,0,0,1,0
flat,DLF The Skycourt,sector 86,1.58,8190,1929,Super Built up area 1929(179.21 sq.m.)Built Up area: 1750 sq.ft. (162.58 sq.m.)Carpet area: 1450 sq.ft. (134.71 sq.m.),3,3,1,16,north,Relatively New,1929.0,1750.0,1450.0,0,0,0,1,0,0,152
flat,Tata  Gateway,sector 113,6.0,9139,6565,Carpet area: 6565 (609.91 sq.m.),5,3,3+,24,north,Moderately Old,,,6565.0,0,0,0,0,0,1,117
flat,Zara Aavaas,sector 104,0.4,7036,5121,Super Built up area 568.46(52.81 sq.m.),2,2,1,4,north,Relatively New,568.0,,,0,0,0,0,0,1,52
flat,Umang Winter Hills,sector 77,1.1,5296,2077,Super Built up area 2077(192.96 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,4,3+,9,north,Relatively New,2077.0,,1600.0,0,1,0,0,0,1,49
flat,M Capital,sector 113,2.37,11500,2061,Built Up area: 2060 (191.38 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),4,4,3+,20,east,Under Construction,,2060.0,1600.0,1,0,0,0,0,1,143
flat,Vipul Lavanya,sector 81,0.6,6666,8100,Super Built up area 900(83.61 sq.m.),2,2,1,0,na,New Property,900.0,,,0,0,0,0,0,1,0
flat,Shree Vardhman Victoria,sector 70,1.15,8518,1350,Super Built up area 1350(125.42 sq.m.),2,2,3,8,south-east,Relatively New,1350.0,,,1,0,0,0,1,1,49
flat,Indiabulls Enigma,sector 110,4.49,11572,3880,Super Built up area 3880(360.46 sq.m.),5,2,3+,4,north-east,Relatively New,3880.0,,,0,1,0,0,0,1,165
flat,Antriksh Heights,sector 84,0.92,5041,1825,Super Built up area 1825(169.55 sq.m.),3,3,3,2,east,Relatively New,1825.0,,,1,0,0,1,0,1,67
flat,Experion The Heartsong,sector 108,1.02,7950,1283,Built Up area: 1283 (119.19 sq.m.)Carpet area: 734.43 sq.ft. (68.23 sq.m.),2,1,3,4,na,Relatively New,,1283.0,734.0,1,0,0,0,0,1,112
flat,Eldeco Accolade,sohna road,0.85,6724,1264,Super Built up area 1264(117.43 sq.m.)Carpet area: 730 sq.ft. (67.82 sq.m.),2,2,3,10,na,New Property,1264.0,,730.0,0,0,0,0,0,1,72
flat,Experion Windchants,sector 112,5.2,10726,4848,Super Built up area 4848(450.39 sq.m.)Built Up area: 3655.35 sq.ft. (339.59 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4,2,3+,15,east,Relatively New,4848.0,3500.0,3500.0,0,1,0,1,0,0,174
house,Ansal Height Height Celebrity Homes,sector 2,5.2,10000,5198,Built Up area: 5200 (483.1 sq.m.)Carpet area: 4000 sq.ft. (371.61 sq.m.),4,2,,1,na,Undefined,,5200.0,4000.0,0,0,0,0,0,1,0
flat,Housing Board Colony,sector 51,0.3,4630,5832,Carpet area: 72 (6.69 sq.m.),1,1,0,0,na,Moderately Old,,,72.0,1,0,0,0,0,1,15
house,Vipul Tatvam Villa,sector 48,7.35,22812,3218,Plot area 358(299.33 sq.m.),4,2,,2,south,Moderately Old,,3229.0,,1,1,1,1,0,0,144
flat,Bestech Park View Ananda,sector 81,1.35,7541,1790,Carpet area: 1790 (166.3 sq.m.),3,3,3+,8,north,Old,,,1790.0,0,0,0,0,0,1,114
flat,AIPL The Peaceful Homes,sector 70a,2.5,10638,2350,Super Built up area 2350(218.32 sq.m.),3,4,3,8,south,Relatively New,2350.0,,,0,1,1,0,0,0,174
house,Independent,sector 105,0.65,9028,6489,Plot area 80(66.89 sq.m.),3,2,,1,east,Relatively New,,721.0,,0,0,0,1,1,1,14
flat,Ansal Height Height Heights,sector 86,1.25,7396,1690,Super Built up area 1690(157.01 sq.m.),3,2,1,2,na,New Property,1690.0,,,0,0,0,0,0,1,100
flat,Adani M Oyster Grande,sector 102,2.61,10046,2598,Super Built up area 2598(241.36 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,3,3,14,north-east,Relatively New,2598.0,2200.0,2000.0,1,1,0,0,0,1,21
flat,ATS Triumph,sector 104,2.0,8733,2290,Super Built up area 2290(212.75 sq.m.),3,1,3+,4,na,Relatively New,2290.0,,,0,1,0,0,0,1,60
flat,Mapsko Mount Ville,sector 79,1.55,8539,1815,Super Built up area 1815(168.62 sq.m.)Carpet area: 1071.33 sq.ft. (99.53 sq.m.),3,4,3,11,south-west,Relatively New,1815.0,,1071.0,0,1,0,0,0,0,152
flat,Signature Global Infinity Mall,sector 36,0.41,6269,5886,Built Up area: 654 (60.76 sq.m.),2,2,3,3,na,Undefined,,654.0,,0,0,0,0,0,1,0
flat,Raheja Navodaya,sector 92,1.1,4681,2350,Built Up area: 2350 (218.32 sq.m.)Carpet area: 1850 sq.ft. (171.87 sq.m.),3,2,3,0,east,Undefined,,2350.0,1850.0,0,0,0,0,0,1,0
flat,Ashiana Mulberry,sohna road,0.74,6016,1230,Carpet area: 1230 (114.27 sq.m.),2,2,3+,12,na,Relatively New,,,1230.0,0,0,0,0,0,1,71
flat,Smart World Orchard,sector 61,1.6,13913,1150,Carpet area: 1150 (106.84 sq.m.),2,2,2,3,na,New Property,,,1150.0,1,0,0,0,0,1,37
flat,SBTL Caladium,sector 109,1.8,7072,2545,Super Built up area 2545(236.44 sq.m.)Carpet area: 1527 sq.ft. (141.86 sq.m.),3,3,3+,10,east,Relatively New,2545.0,,1527.0,0,0,0,0,0,1,174
house,Unitech Uniworld Resorts,sector 33,8.5,17820,4768,Plot area 530(443.15 sq.m.),5,2,,3,north,New Property,,4780.0,,1,1,1,1,0,0,145
flat,Capital Residences,sector 70a,1.15,11500,1000,Super Built up area 1450(134.71 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2,2,3,4,east,New Property,1450.0,1400.0,1000.0,0,0,0,1,0,1,132
flat,Unitech Greenwood City,sector 45,2.4,12346,1944,Super Built up area 216(180.6 sq.m.),3,3,2,1,north-west,New Property,216.0,,,0,1,0,0,0,0,19
flat,BPTP Terra,sector 37d,1.95,14444,1350,Super Built up area 2191(203.55 sq.m.)Built Up area: 1650 sq.ft. (153.29 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),4,3,3,7,na,New Property,2191.0,1650.0,1350.0,0,0,0,0,0,1,53
flat,MVN Athens,sohna road,0.24,7056,3060,Carpet area: 340.09 (31.6 sq.m.),1,1,1,12,west,Relatively New,,,340.0,0,0,0,0,0,1,66
flat,Vatika Lifestyle Homes,sector 83,1.3,4545,2860,Super Built up area 2860(265.7 sq.m.),3,3,1,6,north-west,Relatively New,2860.0,,,0,0,0,0,0,1,79
flat,ATS Tourmaline,sector 109,1.75,8139,2150,Super Built up area 2150(199.74 sq.m.),3,4,3+,2,north,Relatively New,2150.0,,,0,1,0,0,1,1,65
house,Independent,new gurgaon phase 1,0.95,10555,8136,Plot area 900(83.61 sq.m.),3,2,,3,south-east,Old,,900.0,,0,0,1,0,0,1,16
house,BPTP Pedestal,sector 70a,0.92,7750,1184,Carpet area: 1187 (110.28 sq.m.),2,3,,3,north-east,New Property,,,1187.0,0,0,0,0,1,1,153
flat,Conscient Heritage Max,sector 102,2.15,10004,2149,Super Built up area 2149(199.65 sq.m.),3,4,3+,18,south,Relatively New,2149.0,,,1,1,0,0,0,0,134
flat,Mahindra Aura,sector 110,2.25,9266,2428,Super Built up area 2428(225.57 sq.m.)Built Up area: 2350 sq.ft. (218.32 sq.m.)Carpet area: 2050 sq.ft. (190.45 sq.m.),4,4,3+,2,south-west,Relatively New,2428.0,2350.0,2050.0,0,1,0,0,0,1,152
